,station_name,Latitude,longitude,from06_to10,from10_to14,from14_to18,from18_to22,from22_to02,from02_to06
0,동대문,37.571283799999996,127.0089811,25024.5,31739.25,35749.25,25071.75,4760.75,3742.75
1,동묘앞,37.5729947,127.015596,15002.25,32641.0,42440.0,13138.75,1677.75,913.5
2,서울역,37.5561456,126.9723241,111150.0,75784.5,102694.25,107911.5,9021.5,3411.25
3,시청,37.5644845,126.97699309999999,72207.0,31866.25,45816.5,58524.25,3514.5,1263.0
4,신설동,37.575833100000004,127.02323529999998,41062.5,30427.25,39380.5,36655.5,3287.5,2640.0
5,제기동,37.5783926,127.03464050000001,37795.5,59428.0,64874.5,28565.0,3250.75,1533.25
6,종각,37.5701834,126.9829019,98177.0,53931.25,78351.0,91172.0,4403.0,1423.0
7,종로3가,37.5704309,126.99222490000001,40948.75,63575.0,73909.5,52871.5,3209.0,1368.0
8,종로5가,37.5709758,127.0019179,52770.25,56900.75,71819.0,46708.75,2526.75,1178.5
9,청량리,37.58206119,127.04882930000001,47098.0,60267.25,75125.0,42182.5,4167.25,3560.75
10,강남,37.4976977,127.0276828,199190.5,143178.5,201296.75,227615.75,16739.5,3949.75
11,강변,37.5351109,127.0947415,80108.5,61795.25,79613.0,86650.75,8398.0,2194.5
12,건대입구,37.5403626,127.06938400000001,79245.75,61266.75,91684.75,109987.5,12187.5,3464.0
13,교대,37.4936592,127.0137025,98196.0,69949.75,91688.0,91145.0,7004.25,2134.25
14,구로디지털단지,37.48417755,126.89575890000002,210495.5,90133.0,129453.0,190311.5,18886.75,10258.5
15,구의,37.537167600000004,127.08622140000001,74418.75,40760.0,56344.0,71919.5,9042.5,3242.5
16,낙성대,37.4770291,126.96354450000001,81797.75,49370.75,64796.5,83991.25,11602.75,3092.75
17,당산,37.533902000000005,126.9019236,63925.0,32256.5,45102.75,62339.5,6421.0,2021.75
18,대림,37.4924623,126.89554170000001,80978.5,49872.75,66996.75,71012.0,9143.75,8506.0
19,도림천,37.5144539,126.88268400000001,4821.0,2984.0,3744.25,3471.75,321.0,136.75
20,동대문역사문화공원,37.5652615,127.0081233,28103.5,28214.25,35938.75,33845.0,4091.75,2016.0
21,뚝섬,37.5472239,127.04743529999999,70301.25,31209.0,44568.75,62716.5,4497.0,1292.5
22,문래,37.518383899999996,126.8948726,73860.0,31514.75,45834.25,63795.5,4672.5,1222.5
23,방배,37.4814662,126.9977072,51476.75,30028.0,42093.0,46358.25,4280.25,1323.0
24,봉천,37.4823889,126.94193870000001,76625.25,43809.0,56882.75,70271.75,8764.75,3937.25
25,사당,37.476582799999996,126.9816682,91632.25,65736.5,95623.75,119261.25,13457.0,3498.75
26,삼성,37.5088402,127.063143,152410.0,82025.75,120130.75,143852.0,7802.25,2176.25
27,상왕십리,37.564391,127.0292513,43637.25,25313.75,32877.5,39616.25,4233.0,1380.0
28,서울대입구,37.481223,126.95271509999998,130214.5,85780.75,114785.75,143619.5,19666.0,7962.5
29,서초,37.4917747,127.007681,70575.0,38194.0,52092.25,51796.5,3716.5,1347.5
30,선릉,37.50468970000001,127.0488403,155547.75,91650.75,134581.0,146022.0,9845.0,2188.0
31,성수,37.54456879999999,127.05610159999998,127156.25,47043.0,70219.0,106066.25,6941.0,1834.25
32,신답,37.5697124,127.0471403,5437.0,2504.5,3784.75,5693.75,523.0,212.75
33,신당,37.5653839,127.01625200000001,39501.0,30279.75,41079.5,39384.75,4201.75,1630.75
34,신대방,37.4875949,126.9133919,87763.25,44781.25,61660.5,82601.25,11246.0,6044.75
35,신도림,37.508939700000006,126.8912262,133153.75,91835.75,121546.25,149017.5,15671.75,9871.5
36,신림,37.4842316,126.9296803,199834.5,108067.5,148395.5,206184.5,27912.75,9587.0
37,신정네거리,37.5199571,126.853002,32366.75,17401.25,24163.0,29704.5,3251.75,1986.5
38,신촌,37.5551517,126.93690840000001,67887.0,73527.5,92259.5,90544.0,10044.75,1626.5
39,아현,37.5574309,126.9561209,29533.25,20067.75,26783.5,26978.75,3057.5,1323.0
40,양천구청,37.512295,126.865945,22069.5,11396.75,15360.25,20299.75,2467.5,1193.5
41,역삼,37.5016571,127.0363524,170259.25,79932.25,119676.0,138268.25,9929.5,2494.5
42,영등포구청,37.5253085,126.8965943,77082.0,41203.25,55232.0,68724.75,5754.25,1848.25
43,왕십리,37.560992399999996,127.0357093,34428.0,27146.25,37749.25,41521.75,5004.75,1765.75
44,용답,37.562090000000005,127.05086090000002,7528.0,5179.0,7399.5,7328.75,1095.5,626.5
45,용두,37.5740737,127.03806570000002,6670.75,5551.25,7477.25,6331.5,519.75,284.25
46,을지로3가,37.566336299999996,126.99253049999999,68160.25,30289.75,46032.25,56292.75,3322.75,532.0
47,을지로4가,37.56573,126.99734,40426.0,27779.0,38116.0,31940.5,1776.75,529.0
48,을지로입구,37.5659494,126.98261709999998,127781.25,62148.5,92341.25,117370.75,5438.5,850.0
49,이대,37.5643371,126.9468925,30447.25,26825.75,34608.5,31159.0,4153.0,895.0
50,잠실,37.5131651,127.1001729,165988.25,115897.5,166238.0,198309.5,17497.0,3428.0
51,잠실나루,37.520691,127.1038301,43312.5,29325.0,34251.0,32321.5,3261.75,898.5
52,잠실새내,37.5115881,127.085571,51605.75,39811.0,53205.25,58304.25,6159.5,1060.0
53,종합운동장,37.511074799999996,127.07370759999999,20828.25,12448.0,17275.25,18430.75,2097.25,579.0
