station_name,Latitude,longitude
동대문,37.5712838,127.0089811
동묘앞,37.5729947,127.015596
서울역,37.5561456,126.9723241
시청,37.5644845,126.9769931
신설동,37.5758331,127.0232353
제기동,37.5783926,127.0346405
종각,37.5701834,126.9829019
종로3가,37.5704309,126.9922249
종로5가,37.5709758,127.0019179
청량리,37.58206119,127.0488293
강남,37.4976977,127.0276828
강변,37.5351109,127.0947415
건대입구,37.5403626,127.069384
교대,37.4936592,127.0137025
구로디지털단지,37.48417755,126.8957589
구의,37.5371676,127.0862214
낙성대,37.4770291,126.9635445
당산,37.533902,126.9019236
대림,37.4924623,126.8955417
도림천,37.5144539,126.882684
동대문역사문화공원,37.5652615,127.0081233
뚝섬,37.5472239,127.0474353
문래,37.5183839,126.8948726
방배,37.4814662,126.9977072
봉천,37.4823889,126.9419387
사당,37.4765828,126.9816682
삼성,37.5088402,127.063143
상왕십리,37.564391,127.0292513
서울대입구,37.481223,126.9527151
서초,37.4917747,127.007681
선릉,37.5046897,127.0488403
성수,37.5445688,127.0561016
신답,37.5697124,127.0471403
신당,37.5653839,127.016252
신대방,37.4875949,126.9133919
신도림,37.5089397,126.8912262
신림,37.4842316,126.9296803
신정네거리,37.5199571,126.853002
신촌,37.5551517,126.9369084
아현,37.5574309,126.9561209
양천구청,37.512295,126.865945
역삼,37.5016571,127.0363524
영등포구청,37.5253085,126.8965943
왕십리,37.5609924,127.0357093
용답,37.56209,127.0508609
용두,37.5740737,127.0380657
을지로3가,37.5663363,126.9925305
을지로4가,37.56573,126.99734
을지로입구,37.5659494,126.9826171
이대,37.5643371,126.9468925
잠실,37.5131651,127.1001729
잠실나루,37.520691,127.1038301
잠실새내,37.5115881,127.085571
종합운동장,37.5110748,127.0737076
충정로,37.5623725,126.9657722
한양대,37.5557271,127.0436642
합정,37.5493558,126.9136561
홍대입구,37.5582622,126.9256952
가락시장,37.4932082,127.11819
경복궁,37.57975395,126.9766809
경찰병원,37.495401,127.1239038
고속터미널,37.5050827,127.0049777
구파발,37.6368919,126.9188046
금호,37.5479735,127.0159247
남부터미널,37.484943,127.0163445
녹번,37.6009733,126.9357307
대청,37.4936283,127.0795515
대치,37.4944743,127.0631933
도곡,37.490635,127.055473
독립문,37.5745584,126.9578361
동대입구,37.5590607,127.005727
매봉,37.4870692,127.046978
무악재,37.5823172,126.9503501
불광,37.61065468,126.9298477
수서,37.485099,127.1046888
신사,37.5162341,127.0197308
안국,37.57629,126.98546
압구정,37.5261847,127.0284989
약수,37.5549186,127.0103868
양재,37.4838155,127.0346881
연신내,37.6186289,126.9205315
오금,37.5019815,127.1281525
옥수,37.540264,127.0183585
일원,37.4836919,127.0843766
잠원,37.5127513,127.0111504
지축,37.6481315,126.9139418
충무로,37.5611827,126.9941283
학여울,37.4964975,127.0698841
홍제,37.5886894,126.9442528
길음,37.6031599,127.0248525
남태령,37.4663919,126.9877884
노원,37.65635785,127.063451
당고개,37.670098,127.0789245
동작,37.5029705,126.978203
명동,37.5608977,126.9863762
미아,37.6264941,127.0261091
미아사거리,37.613185,127.0300915
삼각지,37.535478,126.9738885
상계,37.66071655,127.0733815
성신여대입구,37.5926755,127.0164764
수유,37.6379932,127.0257229
숙대입구,37.5451398,126.9720063
신용산,37.5291744,126.9678569
쌍문,37.6484028,127.0345788
이촌,37.5224397,126.9733635
창동,37.6525837,127.0480717
총신대입구,37.487026,126.9822046
한성대입구,37.5884217,127.0061861
혜화,37.5821381,127.0019525
회현,37.5586981,126.9784167
강동,37.5357969,127.1325955
개롱,37.4980749,127.1348432
개화산,37.5728758,126.8082601
거여,37.4933453,127.1437709
고덕,37.5549771,127.1537755
공덕,37.5436538,126.9508061
광나루,37.5453014,127.103527
광화문,37.5716162,126.9769026
군자,37.5572448,127.0795575
굽은다리,37.5456375,127.1429622
길동,37.5383683,127.1402049
김포공항,37.5619247,126.8013934
까치산,37.5320943,126.8464982
답십리,37.5668136,127.0526992
둔촌동,37.5278024,127.1362433
마곡,37.5602492,126.8247463
마장,37.5660982,127.042881
마천,37.4949531,127.1527241
마포,37.5396369,126.9459929
명일,37.55153964,127.1439496
목동,37.5261241,126.8645174
미사,37.56347047,127.1926295
발산,37.5584951,126.8374653
방이,37.5086429,127.1260388
방화,37.5774043,126.812732
상일동,37.556793,127.1669438
서대문,37.5657953,126.9666351
송정,37.56129665,126.8113886
신금호,37.554429,127.0202485
신길,37.5164582,126.9196723
신정,37.5250413,126.8559699
아차산,37.5516981,127.0897955
애오개,37.553428,126.9566976
양평,37.5256329,126.8861176
여의나루,37.5268526,126.9325288
여의도,37.5216685,126.9243018
영등포시장,37.5226934,126.9051415
오목교,37.5245648,126.8751222
올림픽공원,37.51889315,127.1201049
우장산,37.5488943,126.8363227
장한평,37.5614909,127.0645666
천호,37.5385225,127.1234021
청구,37.5602311,127.0137776
하남풍산,37.5526423,127.2041813
행당,37.5576063,127.0299929
화곡,37.5416728,126.840397
고려대,37.5901411,127.0362318
광흥창,37.5474717,126.9319609
구산,37.6111867,126.9173589
녹사평,37.5349099,126.9865733
대흥,37.5476992,126.9423451
독바위,37.6183872,126.9331625
돌곶이,37.6105663,127.0564932
디지털미디어시티,37.5778969,126.9003014
마포구청,37.5635586,126.9033645
망원,37.5560254,126.9101277
버티고개,37.5479693,127.0069326
보문,37.58547,127.01941
봉화산,37.6174165,127.0910968
상수,37.5477577,126.9228923
상월곡,37.6062379,127.0482722
새절,37.5926362,126.9139995
석계,37.6148083,127.0658393
신내,37.6126384,127.1033159
안암,37.5862688,127.0292777
역촌,37.6060988,126.9227006
월곡,37.60192,127.0414554
월드컵경기장,37.570178,126.8993144
응암,37.5984296,126.9155283
이태원,37.5345026,126.9943705
증산,37.5841441,126.9099118
창신,37.5798042,127.0152468
태릉입구,37.6176924,127.0756723
한강진,37.5397964,127.0017506
화랑대,37.6197841,127.0837122
효창공원앞,37.5393413,126.9613324
가산디지털단지,37.4805925,126.8831165
강남구청,37.5171756,127.0412865
공릉,37.6256358,127.0730437
광명사거리,37.4794207,126.8544598
굴포천,37.5070226,126.731337
까치울,37.5062407,126.8113842
남구로,37.4853612,126.8866651
남성,37.4843545,126.9718936
내방,37.4876992,126.9936718
논현,37.5111003,127.0214687
도봉산,37.6890432,127.0461448
뚝섬유원지,37.5312584,127.0666031
마들,37.6644977,127.0578829
먹골,37.6114417,127.0776518
면목,37.5884004,127.0876041
반포,37.5081748,127.0116346
보라매,37.4999284,126.9203764
부천시청,37.5047696,126.7631949
부천종합운동장,37.5054566,126.7972885
부평구청,37.5079346,126.7205642
사가정,37.5806996,127.0884705
삼산체육관,37.506496,126.7423475
상도,37.503216,126.9476726
상동,37.5058355,126.7531743
상봉,37.5970314,127.0856555
수락산,37.6783117,127.0553546
숭실대입구,37.4956862,126.9541334
신대방삼거리,37.499706,126.9282246
신중동,37.5030388,126.7762325
신풍,37.5001667,126.9088751
어린이대공원,37.5475998,127.0743915
온수,37.4923242,126.8238416
용마산,37.5739748,127.0870382
이수,37.4853431,126.9821101
장승배기,37.5050172,126.9392793
장암,37.6999741,127.0529079
중계,37.6455373,127.0638733
중곡,37.5663055,127.0845155
중화,37.6016267,127.0795172
천왕,37.4863668,126.8389218
철산,37.4760012,126.8675973
청담,37.5188296,127.0503482
춘의,37.5037314,126.7872014
하계,37.6360179,127.068252
학동,37.5139566,127.03075
강동구청,37.5306942,127.1206234
남한산성입구,37.4515531,127.1598132
단대오거리,37.4450845,127.1567783
모란,37.4337388,127.1291547
몽촌토성,37.5227409,127.1187114
문정,37.4858358,127.1225184
복정,37.4708753,127.1266959
산성,37.45653866,127.1499404
석촌,37.5052954,127.1071105
송파,37.4998681,127.1120684
수진,37.43770362,127.1409693
신흥,37.4410027,127.1476641
암사,37.5501059,127.1275385
장지,37.4788881,127.126067
가양,37.5610584,126.8550738
개화,37.5620517,126.9819066
공항시장,37.5633976,126.8104612
구반포,37.5012899,126.9867849
국회의사당,37.52816203,126.9177672
노들,37.51423298,126.952213
노량진,37.5142554,126.9427629
등촌,37.5511895,126.8645708
마곡나루,37.5663087,126.8276766
사평,37.5042952,127.0151398
샛강,37.51681088,126.9288043
선유도,37.5378808,126.8939797
신논현,37.5044775,127.0245952
신목동,37.544227,126.8831853
신반포,37.5036014,126.996418
신방화,37.5675245,126.8166556
양천향교,37.5684614,126.8412443
염창,37.5469959,126.8753747
증미,37.5569504,126.8628039
흑석,37.5083823,126.9639489
둔촌오륜,37.5198893,127.138351
봉은사,37.5151321,127.0567944
삼성중앙,37.5130955,127.0534747
삼전,37.5045347,127.0872078
석촌고분,37.5024441,127.0966143
선정릉,37.5107312,127.0436945
송파나루,37.511245,127.1127954
언주,37.507321,127.0338746
중앙보훈병원,37.52970065,127.1477297
한성백제,37.5167383,127.116242
경기광주,37.3989287,127.2532479
곤지암,37.3496786,127.3387125
부발,37.26065909,127.4903676
삼동,37.40920168,127.2034843
세종대왕릉,37.2936234,127.5706471
신둔도예촌,37.3155483,127.405293
여주,37.2828814,127.6286055
이매,37.39464,127.1284003
이천,37.2646392,127.4401238
초월,37.373549,127.2994545
판교,37.3947237,127.1115312
관악,37.4195822,126.9062873
광명,37.41638,126.8846978
구로,37.5034468,126.8825086
군포,37.3534271,126.9460497
금정,37.3723075,126.943397
금천구청,37.4546862,126.8945614
남영,37.540538,126.9713213
당정,37.3395561,126.9187493
대방,37.5133577,126.9264784
독산,37.4659942,126.8873196
두정,36.8336521,127.1489375
명학,37.3843939,126.9356089
병점,37.206834,127.0331291
서동탄,37.1956553,127.0520326
서정리,37.0570073,127.0511053
석수,37.4351652,126.9000443
성균관대,37.3003482,126.9686713
성환,36.9170707,127.1266679
세류,37.2441147,127.0137222
세마,37.1866411,127.0438441
송탄,37.0755373,127.0521883
수원,37.2656542,126.999996
안양,37.4026888,126.9198609
영등포,37.5157992,126.908357
오산,37.1459918,127.0649055
오산대,37.1692997,127.0631149
용산,37.5301906,126.9651428
의왕,37.3206522,126.9459103
지제,37.0188005,127.070454
직산,36.8707374,127.1439118
진위,37.1097753,127.0601533
천안,36.8094222,127.1466798
평택,36.9899168,127.0863693
화서,37.282752,126.9761442
가능,37.7483498,127.0444269
광운대,37.6235842,127.0618611
녹양,37.7594418,127.0423364
녹천,37.6446274,127.0513984
덕계,37.8186361,127.0566509
덕정,37.843445,127.0615487
도봉,37.6792077,127.0455468
동두천,37.9278263,127.0547822
동두천중앙,37.9018085,127.0565409
망월사,37.7102001,127.0473858
방학,37.6676904,127.0443033
보산,37.9141529,127.0572513
서빙고,37.519724,126.9896749
소요산,37.9490754,127.0611727
신이문,37.6016378,127.0672904
양주,37.7739602,127.0425933
외대앞,37.5953979,127.0630499
월계,37.6330633,127.0588653
응봉,37.5502759,127.0347279
의정부,37.7377056,127.046029
지행,37.892269,127.0558058
한남,37.5294452,127.0092424
회룡,37.7249474,127.0473751
가좌,37.5686247,126.9128638
강매,37.6125959,126.8432482
계양,37.5715085,126.7363875
곡산,37.645892,126.7995113
금릉,37.7512692,126.7634753
금촌,37.7661102,126.7723263
능곡,37.6182726,126.8216393
문산,37.8544294,126.7878537
백마,37.6575978,126.7949216
서강대,37.5521712,126.9332563
수색,37.5807582,126.8955531
야당,37.7127533,126.7593467
운정,37.7253427,126.7670466
월롱,37.7955532,126.7904133
일산,37.6821159,126.7675945
임진강,37.8883503,126.7477387
탄현,37.6941052,126.7610261
파주,37.8150577,126.7924283
풍산,37.67237679,126.7863228
행신,37.611993,126.8341887
화전,37.6032316,126.8677587
간석,37.4647335,126.6935306
개봉,37.4946337,126.8587053
구일,37.4965396,126.8704644
도원,37.4688261,126.6424009
도화,37.4661244,126.6682641
동암,37.4710457,126.7028769
동인천,37.4751286,126.6330567
백운,37.4831229,126.7071115
부개,37.4884914,126.7406058
부천,37.4841098,126.7827347
부평,37.4895722,126.7237815
소사,37.4825018,126.7951296
송내,37.4877038,126.7528847
역곡,37.4852186,126.8118113
오류동,37.4943466,126.8445367
인천,37.456,126.7052
제물포,37.4668149,126.6569848
주안,37.46521646,126.6806677
중동,36.57458325,128.6748747
가평,37.8146834,127.5106512
갈매,37.63494163,127.1157009
강촌,37.80607555,127.6339682
굴봉산,37.1587488,126.9448438
금곡,37.4852186,126.8118113
김유정,37.8183422,127.7141731
남춘천,37.8640321,127.7239567
대성리,36.12081,128.27104
마석,37.6528884,127.3116847
백양리,36.8449664,127.8903599
별내,37.642333,127.1276086
사릉,37.64559725,127.1976637
상천,37.7701656,127.4544009
천마산,35.3071921,129.1891238
청평,37.735536,127.4266005
춘천,35.189417,129.1613483
퇴계원,37.6482557,127.1435322
평내호평,37.6531047,127.2444979
검암,37.5684289,126.6757403
공항화물청사,37.4590304,126.4774954
영종,53.7974185,-1.5437941
운서,37.4984235,126.4670435
인천공항1터미널,37.4470784,126.4528439
인천공항2터미널,37.4689424,126.4334747
청라국제도시,37.5564451,126.6246922
경마공원,37.4437648,127.0078955
과천,37.433109,126.9961329
대공원,37.43581249,127.006573
범계,37.3899129,126.95091
선바위,37.4522835,127.0018029
인덕원,37.401686,126.9767404
정부과천청사,37.4264709,126.9897504
평촌,37.394288,126.9638795
가천대,37.4486992,127.1267248
개포동,37.4820281,127.0614706
구룡,37.4869265,127.0594609
구성,37.299009,127.1057537
기흥,37.2755132,127.1160129
대모산입구,37.491389,127.0727494
망포,37.245765,127.0569012
매교,37.2654788,127.0156874
매탄권선,37.2530134,127.0403832
미금,37.3500225,127.1089985
보정,37.3125962,127.108344
상갈,37.2616918,127.1088952
서울숲,37.5435916,127.0447397
서현,37.38516676,127.1236567
수내,37.3784062,127.1142451
수원시청,37.26165,127.031849
신갈,37.2861269,127.1113947
압구정로데오,37.5278128,127.0407094
야탑,37.4112976,127.1287143
영통,37.2513557,127.0712923
오리,37.3399397,127.1089098
정자,37.366437,127.1083393
죽전,37.3245669,127.1074072
청명,37.2599557,127.0795065
태평,37.4397089,127.1277447
한티,37.4962709,127.0528661
고색,37.249691,126.9804598
남동인더스파크,37.4077519,126.6952345
달월,37.3799789,126.7453575
사리,37.2902309,126.8567574
소래포구,37.4009476,126.7336759
송도,37.42997809,126.6544099
숭의,37.4607927,126.6382349
신포,37.4682643,126.6248171
야목,37.2612175,126.8840219
어천,37.24996657,126.9111177
연수,37.4177947,126.6789669
오목천,37.24374221,126.9640995
원인재,37.4126256,126.6881558
월곶,37.3918155,126.7427645
인천논현,37.4006866,126.7225648
인하대,37.4482473,126.6497844
호구포,37.4016902,126.7086388
고잔,37.3168514,126.8231007
대야미,37.3279256,126.9168618
반월,37.3124221,126.9038361
산본,37.3580735,126.9330964
상록수,37.3028126,126.8667779
수리산,37.3504199,126.9255584
신길온천,37.3375382,126.7673001
안산,37.3270474,126.7887966
오이도,37.3619245,126.7384943
정왕,37.3517845,126.7429429
중앙,37.3160302,126.8385294
초지,37.3206177,126.8061208
한대앞,37.3097347,126.8536143
4.19민주묘지,37.64856935,127.0070779
가오리,37.64176287,127.0168207
북한산보국문,37.6119091,127.0083395
북한산우이,37.6631014,127.0125753
삼양,37.5151033,137.2189177
삼양사거리,37.6211594,127.0204783
솔밭공원,37.84077045,127.7132799
솔샘,37.6201733,127.0143507
정릉,37.6018612,127.006184
화계,37.2164079,126.9956254
대곡,37.63209927,126.81029
대화,37.67611235,126.7477665
마두,37.6519975,126.7777637
백석,37.64327671,126.7880415
삼송,37.65332532,126.895559
원당,37.6530498,126.8428981
원흥,37.5679487,126.9819991
정발산,37.6597112,126.7732179
주엽,37.6701524,126.7612377
화정,37.63486639,126.8325766
배방,36.7777806,127.0527081
봉명,36.80167475,127.1361403
신창,36.7697885,126.9518229
쌍용,37.1742252,128.3286805
아산,36.7920971,127.1044526
온양온천,36.78061632,127.003675
구리,37.6032517,127.1433747
국수,37.51643426,127.3995039
덕소,37.58741152,127.208547
도농,37.6087705,127.1611982
도심,37.57986605,127.2227658
망우,37.5996345,127.0918581
신원,37.524986,127.3736603
아신,37.51379577,127.4430494
양수,37.54622766,127.3288836
양원,37.5560254,126.9101277
양정,37.60443048,127.1945162
오빈,37.5061587,127.4738918
용문,37.48268934,127.5945032
운길산,37.5726002,127.294585
원덕,37.4687663,127.5468697
중랑,37.5949548,127.0763183
지평,37.4766379,127.6293674
팔당,37.5473428,127.2439209
회기,37.5893334,127.0573033
